set,composer,albumID,pieceID,key,chroma,participant,valence,arousal,condition,expID
1,chopin,chopinAshkenazy1992Deadpan,m2,d,2,19,3,61,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M2,D,2,19,5,67,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m2,d,2,24,3,62,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M2,D,2,24,5,70,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m2,d,2,25,2,70,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M2,D,2,25,5,57,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m2,d,2,26,3,69,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M2,D,2,26,6,96,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m2,d,2,27,2,63,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M2,D,2,27,6,35,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m2,d,2,28,3,70,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M2,D,2,28,5,25,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m2,d,2,29,5,75,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M2,D,2,29,5,87,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m2,d,2,30,4,78,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M2,D,2,30,6,83,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m2,d,2,31,2,93,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M2,D,2,31,3,64,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m2,d,2,32,1,90,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M2,D,2,32,6,28,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m2,d,2,33,3,29,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M2,D,2,33,4,40,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m2,d,2,34,3,70,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M2,D,2,34,4,90,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m2,d,2,37,2,82,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M2,D,2,37,6,74,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m2,d,2,38,2,100,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M2,D,2,38,6,76,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m2,d,2,39,3,73,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M2,D,2,39,5,77,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m2,d,2,4,3,70,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M2,D,2,4,5,59,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m2,d,2,40,4,75,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M2,D,2,40,4,70,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m2,d,2,41,2,28,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M2,D,2,41,5,61,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m2,d,2,42,3,75,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M2,D,2,42,5,85,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m2,d,2,43,3,70,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M2,D,2,43,6,76,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m2,d,2,6,2,82,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M2,D,2,6,6,81,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m2,d,2,7,2,72,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M2,D,2,7,5,55,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m2,d,2,8,3,71,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M2,D,2,8,5,65,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m3,eb,3,12,2,46,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M3,Eb,3,12,5,90,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m3,eb,3,13,2,87,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M3,Eb,3,13,6,65,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m3,eb,3,14,1,89,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M3,Eb,3,14,7,97,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m3,eb,3,15,3,85,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M3,Eb,3,15,7,87,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m3,eb,3,16,2,88,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M3,Eb,3,16,6,91,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m3,eb,3,17,2,100,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M3,Eb,3,17,7,95,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m3,eb,3,18,3,71,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M3,Eb,3,18,7,96,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m3,eb,3,19,3,82,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M3,Eb,3,19,7,99,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m3,eb,3,24,4,62,deadpan,137
